id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
11289;Bretzenheim (Nahe);bretzenheim-nahe;8019184;;49.874589;7.898695;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001177;t;;f;;f;;f;;f;;f;8001177;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Бретценхайм;;;布雷岑海姆;urn:trainline:public:nloc:csv11289;
11290;Bretzfeld;bretzfeld;8029660;;49.172738;9.4403;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001178;t;;f;;f;;f;;f;;f;8001178;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ブレッツフェルト;;;;Брецфельд;;;布雷茨费尔德;urn:trainline:public:nloc:csv11290;
11291;Krumbach (Schw) Schule;krumbach-schw-schule;8002099;;48.235424;10.361164;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001179;t;;f;;f;;f;;f;;f;8001179;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11291;
11292;Breyell;breyell;8015129;;51.294615;6.241174;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001180;t;;f;;f;;f;;f;;f;8001180;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11292;
11293;Brilon Stadt;brilon-stadt;8008546;;51.398377;8.575232;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001182;t;;f;;f;851;t;;f;;f;8001182;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Брилон;;;布里隆;urn:trainline:public:nloc:csv11293;
11294;Ostbevern;ostbevern;8021019;;52.070114;7.809288;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001183;t;;f;;f;;f;;f;;f;8001183;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Остбеверн;;;东贝沃恩;urn:trainline:public:nloc:csv11294;
11295;Brockhöfe;brockhofe;8013642;;53.002242;10.258786;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001185;t;;f;;f;;f;;f;;f;8001185;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11295;
11296;Lengede-Broistedt;lengede-broistedt;8013262;;52.197024;10.320695;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001188;t;;f;;f;;f;;f;;f;8001188;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11296;
11297;Brokstedt;brokstedt;8001293;;53.989824;9.823438;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001190;t;;f;;f;;f;;f;;f;8001190;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11297;
11298;Lörrach-Brombach/Hauingen;lorrach-brombach-hauingen;8014444;;47.637614;7.695206;29009;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001191;t;;f;;f;;f;;f;;f;8001191;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11298;
